year,zip_url,zip_filename,source_page,source_type
1993,https://www.trabajo.gob.pe/archivos/file/estadisticas/anuario/Anuario1993.zip,Anuario1993.zip,https://www2.trabajo.gob.pe/estadisticas/anuarios-estadisticos/,direct_zip
1994,https://www.trabajo.gob.pe/archivos/file/estadisticas/anuario/Anuario1994.zip,Anuario1994.zip,https://www2.trabajo.gob.pe/estadisticas/anuarios-estadisticos/,direct_zip
1995,https://www.trabajo.gob.pe/archivos/file/estadisticas/anuario/Anuario1995.zip,Anuario1995.zip,https://www2.trabajo.gob.pe/estadisticas/anuarios-estadisticos/,direct_zip
1996,https://www.trabajo.gob.pe/archivos/file/estadisticas/anuario/Anuario1996.zip,Anuario1996.zip,https://www2.trabajo.gob.pe/estadisticas/anuarios-estadisticos/,direct_zip
1997,https://www.trabajo.gob.pe/archivos/file/estadisticas/anuario/Anuario1997.zip,Anuario1997.zip,https://www2.trabajo.gob.pe/estadisticas/anuarios-estadisticos/,direct_zip
1998,https://www.trabajo.gob.pe/archivos/file/estadisticas/anuario/Anuario1998.zip,Anuario1998.zip,https://www2.trabajo.gob.pe/estadisticas/anuarios-estadisticos/,direct_zip
1999,https://www.trabajo.gob.pe/archivos/file/estadisticas/anuario/Anuario1999.zip,Anuario1999.zip,https://www2.trabajo.gob.pe/estadisticas/anuarios-estadisticos/,direct_zip
2000,https://www.trabajo.gob.pe/archivos/file/estadisticas/anuario/Anuario2000.zip,Anuario2000.zip,https://www2.trabajo.gob.pe/estadisticas/anuarios-estadisticos/,direct_zip
2001,https://www.trabajo.gob.pe/archivos/file/estadisticas/anuario/Anuario2001.zip,Anuario2001.zip,https://www2.trabajo.gob.pe/estadisticas/anuarios-estadisticos/,direct_zip
2002,https://www.trabajo.gob.pe/archivos/file/estadisticas/anuario/Anuario2002.zip,Anuario2002.zip,https://www2.trabajo.gob.pe/estadisticas/anuarios-estadisticos/,direct_zip
2003,https://www.trabajo.gob.pe/archivos/file/estadisticas/anuario/Anuario2003.zip,Anuario2003.zip,https://www2.trabajo.gob.pe/estadisticas/anuarios-estadisticos/,direct_zip
2004,https://www.trabajo.gob.pe/archivos/file/estadisticas/anuario/Anuario2004.zip,Anuario2004.zip,https://www2.trabajo.gob.pe/estadisticas/anuarios-estadisticos/,direct_zip
2005,https://www.trabajo.gob.pe/archivos/file/estadisticas/anuario/Anuario2005.zip,Anuario2005.zip,https://www2.trabajo.gob.pe/estadisticas/anuarios-estadisticos/,direct_zip
2006,https://www.trabajo.gob.pe/archivos/file/estadisticas/anuario/Anuario2006.zip,Anuario2006.zip,https://www2.trabajo.gob.pe/estadisticas/anuarios-estadisticos/,direct_zip
2007,https://www.trabajo.gob.pe/archivos/file/estadisticas/anuario/Anuario2007.zip,Anuario2007.zip,https://www2.trabajo.gob.pe/estadisticas/anuarios-estadisticos/,direct_zip
2008,https://www.trabajo.gob.pe/archivos/file/estadisticas/anuario/Anuario2008.zip,Anuario2008.zip,https://www2.trabajo.gob.pe/estadisticas/anuarios-estadisticos/,direct_zip
2009,https://www.trabajo.gob.pe/archivos/file/estadisticas/anuario/Anuario2009.zip,Anuario2009.zip,https://www2.trabajo.gob.pe/estadisticas/anuarios-estadisticos/,direct_zip
2010,https://www.trabajo.gob.pe/archivos/file/estadisticas/anuario/Anuario2010.zip,Anuario2010.zip,https://www2.trabajo.gob.pe/estadisticas/anuarios-estadisticos/,direct_zip
2011,https://www.trabajo.gob.pe/archivos/file/estadisticas/anuario/Anuario2011.zip,Anuario2011.zip,https://www2.trabajo.gob.pe/estadisticas/anuarios-estadisticos/,direct_zip
2012,https://www.trabajo.gob.pe/archivos/file/estadisticas/anuario/Anuario2012.zip,Anuario2012.zip,https://www2.trabajo.gob.pe/estadisticas/anuarios-estadisticos/,direct_zip
2013,https://www.trabajo.gob.pe/archivos/file/estadisticas/anuario/Anuario2013.zip,Anuario2013.zip,https://www2.trabajo.gob.pe/estadisticas/anuarios-estadisticos/,direct_zip
2014,https://www.trabajo.gob.pe/archivos/file/estadisticas/anuario/Anuario2014.zip,Anuario2014.zip,https://www2.trabajo.gob.pe/estadisticas/anuarios-estadisticos/,direct_zip
2015,https://www2.trabajo.gob.pe/archivos/estadisticas/anuario/Anuario_2015_280616.zip,Anuario_2015_280616.zip,https://www2.trabajo.gob.pe/estadisticas/anuarios-estadisticos/,direct_zip
2016,https://www2.trabajo.gob.pe/archivos/estadisticas/anuario/ANUARIO2016.zip,ANUARIO2016.zip,https://www2.trabajo.gob.pe/estadisticas/anuarios-estadisticos/,direct_zip
2017,https://www2.trabajo.gob.pe/archivos/estadisticas/anuario/Anuario-2017.zip,Anuario-2017.zip,https://www2.trabajo.gob.pe/estadisticas/anuarios-estadisticos/,direct_zip
2018,https://cdn.www.gob.pe/uploads/document/file/461127/Cuadros.zip?v=1577133040,Cuadros.zip,https://www.gob.pe/institucion/mtpe/informes-publicaciones/279944-anuario-estadistico-2018,gob_page
2019,https://cdn.www.gob.pe/uploads/document/file/921500/Cuadros.zip?v=1593795285,Cuadros.zip,https://www.gob.pe/institucion/mtpe/informes-publicaciones/762863-anuario-estadistico-sectorial-2019,gob_page
2020,https://cdn.www.gob.pe/uploads/document/file/2034699/ANUARIO%202020.zip.zip,ANUARIO 2020.zip.zip,https://www2.trabajo.gob.pe/estadisticas/anuarios-estadisticos/,direct_zip
2021,https://cdn.www.gob.pe/uploads/document/file/3668970/Anuario%202021.zip?v=1663880841,Anuario 2021.zip,https://www.gob.pe/institucion/mtpe/informes-publicaciones/3247012-anuario-estadistico-sectorial-2021,gob_page
2022,https://cdn.www.gob.pe/uploads/document/file/4930318/anuario%202022.zip?v=1690992412,anuario 2022.zip,https://www.gob.pe/institucion/mtpe/informes-publicaciones/4485120-anuario-estadistico-sectorial-2022,gob_page
2023,https://cdn.www.gob.pe/uploads/document/file/6837546/5915177-anuarioestadisticosectorial2023archivosexcelypdf.zip?v=1724691146,5915177-anuarioestadisticosectorial2023archivosexcelypdf.zip,https://www.gob.pe/institucion/mtpe/informes-publicaciones/5915177-anuario-estadistico-sectorial-2023,gob_page
2024,https://cdn.www.gob.pe/uploads/document/file/8796015/7267740-anuario-mtpe-2024.zip?v=1759874101,7267740-anuario-mtpe-2024.zip,https://www.gob.pe/institucion/mtpe/informes-publicaciones/7267740-anuario-estadistico-sectorial-2024,gob_page
