anio,estado_cruce,detalle
1993,no_disponible,No existe cuadro cruzado utilizable en el pipeline actual.
1994,no_disponible,No existe cuadro cruzado utilizable en el pipeline actual.
1995,no_disponible,No existe cuadro cruzado utilizable en el pipeline actual.
1996,no_disponible,No existe cuadro cruzado utilizable en el pipeline actual.
1997,no_disponible,No existe cuadro cruzado utilizable en el pipeline actual.
1998,no_disponible,No existe cuadro cruzado utilizable en el pipeline actual.
1999,no_disponible,No existe cuadro cruzado utilizable en el pipeline actual.
2000,no_disponible,No existe cuadro cruzado utilizable en el pipeline actual.
2001,disponible,C-11 | FUENTE : MINISTERIO DE TRABAJO Y PROMOCION DEL EMPLEO H : Huelga | ELABORADO : OFICINA DE ESTADISTICA E INFORMATICA / OFICINA DE ESTADISTICA H/HP: Horas - Hombre Perdidas
2002,disponible,C-11 | FUENTE : MINISTERIO DE TRABAJO Y PROMOCION DEL EMPLEO H : Huelga | ELABORADO : OFICINA DE ESTADISTICA E INFORMATICA / OFICINA DE ESTADISTICA H/HP: Horas - Hombre Perdidas
2003,disponible,C-11 | FUENTE : MINISTERIO DE TRABAJO Y PROMOCION DEL EMPLEO H : Huelga | ELABORADO : OFICINA DE ESTADISTICA E INFORMATICA / OFICINA DE ESTADISTICA H/HP : Horas - Hombre Perdidas
2004,disponible,C-11 | FUENTE : MINISTERIO DE TRABAJO Y PROMOCION DEL EMPLEO | ELABORADO : OFICINA DE ESTADISTICA E INFORMATICA / OFICINA DE ESTADISTICA
2005,disponible,C-11 | FUENTE : MINISTERIO DE TRABAJO Y PROMOCION DEL EMPLEO | ELABORADO : OFICINA DE ESTADISTICA E INFORMATICA / OFICINA DE ESTADISTICA
2006,disponible,C-11 | FUENTE : MINISTERIO DE TRABAJO Y PROMOCIÓN DEL EMPLEO | ELABORADO : OFICINA DE ESTADÍSTICA E INFORMÁTICA / OFICINA DE ESTADÍSTICA
2007,disponible,C-11 | FUENTE : MINISTERIO DE TRABAJO Y PROMOCIÓN DEL EMPLEO | ELABORADO : OFICINA DE ESTADÍSTICA E INFORMÁTICA / OFICINA DE ESTADÍSTICA
