anio,hoja_excel,territorio_original,territorio_homologado_fino,territorio_homologado_agregado,nivel_territorial,territorio_padre,regla_territorio,actividad_original,actividad_homologada_fina,actividad_homologada_agregada,regla_actividad,huelgas,trabajadores_comprendidos,horas_hombre_perdidas,total_territorio_huelgas,total_territorio_trabajadores,total_territorio_horas,nota_fuente
2001,C-11,CHIMBOTE,chimbote,chimbote,zona,,CHIMBOTE -> zona en cuadro cruzado antiguo; sin region_padre inferida automaticamente,"AGRICULTURA, GANDERIA, CAZA Y SILV.",agricultura,agricultura,agricultura -> agricultura,0.0,0.0,0.0,1.0,19.0,152.0,Cuadro cruzado actividad x territorio disponible en C-11.
2001,C-11,CHIMBOTE,chimbote,chimbote,zona,,CHIMBOTE -> zona en cuadro cruzado antiguo; sin region_padre inferida automaticamente,EXPLOTACION DE MINAS Y CANTERAS,mineria,mineria,minas y canteras -> mineria,0.0,0.0,0.0,1.0,19.0,152.0,Cuadro cruzado actividad x territorio disponible en C-11.
2001,C-11,CHIMBOTE,chimbote,chimbote,zona,,CHIMBOTE -> zona en cuadro cruzado antiguo; sin region_padre inferida automaticamente,INDUSTRIA MANU- FACTURERA,industria_manu_facturera,industria_manu_facturera,sin traduccion adicional; se normaliza el texto,0.0,0.0,0.0,1.0,19.0,152.0,Cuadro cruzado actividad x territorio disponible en C-11.
2001,C-11,CHIMBOTE,chimbote,chimbote,zona,,CHIMBOTE -> zona en cuadro cruzado antiguo; sin region_padre inferida automaticamente,CONSTRU- CCION,constru_ccion,constru_ccion,sin traduccion adicional; se normaliza el texto,1.0,19.0,152.0,1.0,19.0,152.0,Cuadro cruzado actividad x territorio disponible en C-11.
2001,C-11,CHIMBOTE,chimbote,chimbote,zona,,CHIMBOTE -> zona en cuadro cruzado antiguo; sin region_padre inferida automaticamente,HOTELES Y RESTAURAMTES,hoteles_y_restauramtes,hoteles_y_restauramtes,sin traduccion adicional; se normaliza el texto,0.0,0.0,0.0,1.0,19.0,152.0,Cuadro cruzado actividad x territorio disponible en C-11.
2001,C-11,CHIMBOTE,chimbote,chimbote,zona,,CHIMBOTE -> zona en cuadro cruzado antiguo; sin region_padre inferida automaticamente,"ACTIV. INMOB., EMPRESARIALES Y DE ALQUILER",inmobiliario,inmobiliario,actividades inmobiliarias/alquiler -> inmobiliario,0.0,0.0,0.0,1.0,19.0,152.0,Cuadro cruzado actividad x territorio disponible en C-11.
2001,C-11,CHIMBOTE,chimbote,chimbote,zona,,CHIMBOTE -> zona en cuadro cruzado antiguo; sin region_padre inferida automaticamente,ADMINISTRA. PUBLICA Y DEFENSA,administra_publica_y_defensa,administra_publica_y_defensa,sin traduccion adicional; se normaliza el texto,0.0,0.0,0.0,1.0,19.0,152.0,Cuadro cruzado actividad x territorio disponible en C-11.
2001,C-11,AREQUIPA,arequipa,arequipa,regional,arequipa,AREQUIPA -> region homologada arequipa en cuadro cruzado antiguo,"AGRICULTURA, GANDERIA, CAZA Y SILV.",agricultura,agricultura,agricultura -> agricultura,0.0,0.0,0.0,1.0,257.0,2056.0,Cuadro cruzado actividad x territorio disponible en C-11.
2001,C-11,AREQUIPA,arequipa,arequipa,regional,arequipa,AREQUIPA -> region homologada arequipa en cuadro cruzado antiguo,EXPLOTACION DE MINAS Y CANTERAS,mineria,mineria,minas y canteras -> mineria,0.0,0.0,0.0,1.0,257.0,2056.0,Cuadro cruzado actividad x territorio disponible en C-11.
2001,C-11,AREQUIPA,arequipa,arequipa,regional,arequipa,AREQUIPA -> region homologada arequipa en cuadro cruzado antiguo,INDUSTRIA MANU- FACTURERA,industria_manu_facturera,industria_manu_facturera,sin traduccion adicional; se normaliza el texto,0.0,0.0,0.0,1.0,257.0,2056.0,Cuadro cruzado actividad x territorio disponible en C-11.
