anio,hoja_excel,territorio_original,territorio_homologado_agregado,nivel_territorial,metrica,total_extraido,total_fuente,diferencia,estado
2001,C-11,CHIMBOTE,chimbote,zona,huelgas,1.0,1.0,0.0,ok
2001,C-11,CHIMBOTE,chimbote,zona,trabajadores_comprendidos,19.0,19.0,0.0,ok
2001,C-11,CHIMBOTE,chimbote,zona,horas_hombre_perdidas,152.0,152.0,0.0,ok
2001,C-11,AREQUIPA,arequipa,regional,huelgas,1.0,1.0,0.0,ok
2001,C-11,AREQUIPA,arequipa,regional,trabajadores_comprendidos,257.0,257.0,0.0,ok
2001,C-11,AREQUIPA,arequipa,regional,horas_hombre_perdidas,2056.0,2056.0,0.0,ok
2001,C-11,CUSCO,cusco,regional,huelgas,0.0,0.0,0.0,ok
2001,C-11,CUSCO,cusco,regional,trabajadores_comprendidos,25.0,25.0,0.0,ok
2001,C-11,CUSCO,cusco,regional,horas_hombre_perdidas,200.0,200.0,0.0,ok
2001,C-11,HUANCAVELICA,huancavelica,regional,huelgas,1.0,1.0,0.0,ok
2001,C-11,HUANCAVELICA,huancavelica,regional,trabajadores_comprendidos,248.0,248.0,0.0,ok
2001,C-11,HUANCAVELICA,huancavelica,regional,horas_hombre_perdidas,7936.0,7936.0,0.0,ok
2001,C-11,HUANUCO,huanuco,regional,huelgas,1.0,1.0,0.0,ok
2001,C-11,HUANUCO,huanuco,regional,trabajadores_comprendidos,46.0,46.0,0.0,ok
2001,C-11,HUANUCO,huanuco,regional,horas_hombre_perdidas,5520.0,5520.0,0.0,ok
2001,C-11,LA OROYA,la_oroya,zona,huelgas,1.0,1.0,0.0,ok
2001,C-11,LA OROYA,la_oroya,zona,trabajadores_comprendidos,665.0,665.0,0.0,ok
2001,C-11,LA OROYA,la_oroya,zona,horas_hombre_perdidas,10640.0,10640.0,0.0,ok
2001,C-11,CHICLAYO,chiclayo,zona,huelgas,5.0,5.0,0.0,ok
2001,C-11,CHICLAYO,chiclayo,zona,trabajadores_comprendidos,3633.0,3633.0,0.0,ok
2001,C-11,CHICLAYO,chiclayo,zona,horas_hombre_perdidas,281256.0,281256.0,0.0,ok
2001,C-11,TRUJILLO,trujillo,zona,huelgas,2.0,2.0,0.0,ok
