anio,metrica,estado,filas_ok,filas_sin_total,filas_revisar
2001,horas_hombre_perdidas,ok,14,0,0
2001,huelgas,ok,14,0,0
2001,trabajadores_comprendidos,ok,14,0,0
2002,horas_hombre_perdidas,revisar,33,0,2
2002,huelgas,revisar,33,0,2
2002,trabajadores_comprendidos,revisar,33,0,2
2003,horas_hombre_perdidas,ok,27,0,0
2003,huelgas,ok,27,0,0
2003,trabajadores_comprendidos,ok,27,0,0
2004,horas_hombre_perdidas,ok,29,0,0
2004,huelgas,ok_con_salvedad,18,11,0
2004,trabajadores_comprendidos,ok,29,0,0
2005,horas_hombre_perdidas,ok,32,0,0
2005,huelgas,ok,32,0,0
2005,trabajadores_comprendidos,ok,32,0,0
2006,horas_hombre_perdidas,ok_con_salvedad,19,1,0
2006,huelgas,ok_con_salvedad,19,1,0
2006,trabajadores_comprendidos,ok_con_salvedad,19,1,0
2007,horas_hombre_perdidas,ok_con_salvedad,25,2,0
2007,huelgas,ok_con_salvedad,25,2,0
2007,trabajadores_comprendidos,ok_con_salvedad,25,2,0
2008,horas_hombre_perdidas,ok_con_salvedad,20,1,0
2008,huelgas,ok_con_salvedad,15,6,0
2008,trabajadores_comprendidos,ok_con_salvedad,20,1,0
2009,horas_hombre_perdidas,revisar,20,1,3
2009,huelgas,revisar,20,1,3
2009,trabajadores_comprendidos,revisar,20,1,3
2010,horas_hombre_perdidas,ok,30,0,0
2010,huelgas,ok,30,0,0
2010,trabajadores_comprendidos,ok_con_salvedad,29,1,0
2011,horas_hombre_perdidas,revisar,23,1,2
2011,huelgas,revisar,23,1,2
2011,trabajadores_comprendidos,revisar,23,1,2
2012,horas_hombre_perdidas,revisar,47,1,2
2012,huelgas,revisar,47,1,2
2012,trabajadores_comprendidos,revisar,43,5,2
2013,horas_hombre_perdidas,ok_con_salvedad,37,1,0
2013,huelgas,ok_con_salvedad,37,1,0
2013,trabajadores_comprendidos,ok_con_salvedad,33,5,0
2014,horas_hombre_perdidas,ok_con_salvedad,27,1,0
2014,huelgas,ok,28,0,0
2014,trabajadores_comprendidos,ok_con_salvedad,26,2,0
2015,horas_hombre_perdidas,revisar,12,0,3
2015,huelgas,revisar,12,0,3
2015,trabajadores_comprendidos,revisar,11,1,3
2016,horas_hombre_perdidas,ok,21,0,0
2016,huelgas,ok,21,0,0
2016,trabajadores_comprendidos,ok_con_salvedad,19,2,0
2017,horas_hombre_perdidas,ok_con_salvedad,22,1,0
2017,huelgas,ok_con_salvedad,22,1,0
2017,trabajadores_comprendidos,ok_con_salvedad,20,3,0
2018,horas_hombre_perdidas,ok,27,0,0
2018,huelgas,ok,27,0,0
2018,trabajadores_comprendidos,ok_con_salvedad,24,3,0
2019,horas_hombre_perdidas,ok,15,0,0
2019,huelgas,ok,15,0,0
2019,trabajadores_comprendidos,ok_con_salvedad,13,2,0
2020,horas_hombre_perdidas,ok,8,0,0
2020,huelgas,ok,8,0,0
2020,trabajadores_comprendidos,ok,8,0,0
2021,horas_hombre_perdidas,ok,12,0,0
2021,huelgas,ok,12,0,0
2021,trabajadores_comprendidos,ok,12,0,0
2022,horas_hombre_perdidas,ok,10,0,0
2022,huelgas,ok,10,0,0
2022,trabajadores_comprendidos,ok,10,0,0
2023,horas_hombre_perdidas,ok_con_salvedad,11,1,0
2023,huelgas,ok,12,0,0
2023,trabajadores_comprendidos,ok_con_salvedad,11,1,0
2024,horas_hombre_perdidas,ok_con_salvedad,12,1,0
2024,huelgas,ok,13,0,0
2024,trabajadores_comprendidos,ok_con_salvedad,12,1,0
