anio,adm_publica,agricultura,comercio,construccion,electricidad_agua,ensenanza,explotacion_de_petroleo_y_gas_natural,financiero,inmobiliario,manufactura,mineria,otros_servicios,paro_nacional,pesca,salud_social,transporte
1994,0.0,2.0,0.0,0.0,21.0,0.0,0.0,1.0,0.0,65.0,35.0,0.0,0.0,5.0,10.0,29.0
1995,0.0,0.0,1.0,12.0,7.0,3.0,0.0,0.0,1.0,28.0,37.0,0.0,0.0,0.0,5.0,8.0
1996,0.0,0.0,0.0,21.0,1.0,0.0,9.0,0.0,0.0,10.0,17.0,0.0,0.0,5.0,4.0,10.0
1997,0.0,1.0,0.0,22.0,3.0,0.0,0.0,0.0,1.0,14.0,7.0,0.0,0.0,0.0,3.0,15.0
1998,0.0,0.0,1.0,14.0,2.0,0.0,0.0,0.0,1.0,15.0,12.0,0.0,0.0,0.0,0.0,13.0
1999,0.0,1.0,0.0,13.0,1.0,1.0,0.0,0.0,0.0,17.0,12.0,0.0,1.0,3.0,0.0,22.0
2000,1.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,7.0,9.0,0.0,0.0,0.0,0.0,9.0
2001,1.0,2.0,1.0,9.0,0.0,0.0,0.0,0.0,1.0,11.0,15.0,0.0,0.0,0.0,0.0,0.0
2002,1.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,9.0,10.0,20.0,0.0,3.0,0.0,1.0,11.0
2003,6.0,2.0,2.0,6.0,8.0,1.0,0.0,0.0,3.0,21.0,4.0,1.0,0.0,0.0,2.0,12.0
2004,13.0,1.0,0.0,5.0,16.0,1.0,0.0,0.0,3.0,26.0,21.0,1.0,0.0,0.0,6.0,14.0
2005,6.0,0.0,0.0,4.0,14.0,3.0,0.0,0.0,2.0,7.0,12.0,1.0,0.0,0.0,9.0,7.0
2006,6.0,0.0,2.0,9.0,12.0,1.0,0.0,0.0,7.0,6.0,10.0,0.0,0.0,0.0,1.0,13.0
2007,4.0,2.0,0.0,9.0,3.0,2.0,0.0,1.0,2.0,8.0,29.0,0.0,0.0,0.0,0.0,13.0
2008,1.0,1.0,0.0,4.0,2.0,2.0,0.0,0.0,1.0,8.0,39.0,0.0,1.0,0.0,1.0,3.0
2009,4.0,3.0,0.0,14.0,2.0,3.0,0.0,0.0,0.0,22.0,33.0,0.0,0.0,2.0,7.0,9.0
2010,5.0,1.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,22.0,36.0,1.0,0.0,0.0,1.0,4.0
2011,3.0,1.0,2.0,10.0,2.0,1.0,0.0,1.0,1.0,24.0,30.0,0.0,0.0,1.0,0.0,8.0
2012,12.0,2.0,5.0,5.0,2.0,1.0,0.0,4.0,2.0,13.0,30.0,4.0,0.0,1.0,3.0,5.0
2013,7.0,2.0,3.0,2.0,2.0,2.0,0.0,1.0,1.0,28.0,33.0,2.0,0.0,0.0,3.0,8.0
2014,5.0,3.0,5.0,2.0,1.0,1.0,0.0,5.0,1.0,32.0,32.0,0.0,0.0,0.0,5.0,3.0
2015,7.0,1.0,3.0,0.0,3.0,2.0,0.0,0.0,0.0,11.0,11.0,2.0,0.0,2.0,0.0,5.0
2016,6.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,12.0,14.0,2.0,0.0,0.0,1.0,0.0
2017,12.0,1.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,8.0,14.0,1.0,0.0,0.0,1.0,1.0
2018,15.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,3.0,6.0,14.0,0.0,0.0,0.0,8.0,2.0
2019,25.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,10.0,18.0,1.0,0.0,0.0,2.0,4.0
2020,8.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,6.0,0.0,0.0,0.0,3.0,1.0
2021,8.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,15.0,0.0,0.0,0.0,1.0,2.0
2022,16.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,8.0,7.0,1.0,0.0,0.0,1.0,1.0
2023,23.0,2.0,3.0,0.0,2.0,3.0,0.0,2.0,0.0,7.0,10.0,0.0,0.0,0.0,1.0,2.0
2024,33.0,0.0,1.0,2.0,1.0,1.0,0.0,3.0,0.0,6.0,7.0,1.0,0.0,0.0,8.0,0.0
