anio,categoria_homologada_agregada,huelgas,trabajadores_comprendidos,horas_hombre_perdidas
1994,agricultura,2.0,311.0,14928.0
1994,electricidad_agua,21.0,13871.0,169948.0
1994,financiero,1.0,520.0,4160.0
1994,manufactura,65.0,10890.0,641020.0
1994,mineria,35.0,20010.0,615688.0
1994,pesca,5.0,657.0,5256.0
1994,salud_social,10.0,2897.0,54384.0
1994,transporte,29.0,13784.0,431263.0
1995,comercio,1.0,28.0,224.0
1995,construccion,12.0,5168.0,89216.0
1995,electricidad_agua,7.0,1238.0,15048.0
1995,ensenanza,3.0,118.0,2872.0
1995,inmobiliario,1.0,119.0,4760.0
1995,manufactura,28.0,3621.0,307170.0
1995,mineria,37.0,14214.0,286656.0
1995,salud_social,5.0,931.0,24312.0
1995,transporte,8.0,2745.0,318495.0
1996,construccion,21.0,15063.0,219400.0
1996,electricidad_agua,1.0,320.0,2560.0
1996,explotacion_de_petroleo_y_gas_natural,9.0,7970.0,168788.0
1996,manufactura,10.0,3079.0,178306.0
1996,mineria,17.0,3794.0,495904.0
1996,pesca,5.0,1560.0,215616.0
1996,salud_social,4.0,1281.0,40336.0
1996,transporte,10.0,3175.0,78976.0
1997,agricultura,1.0,100.0,2400.0
1997,construccion,22.0,6507.0,165832.0
1997,electricidad_agua,3.0,6261.0,57944.0
1997,inmobiliario,1.0,6.0,48.0
1997,manufactura,14.0,1691.0,19592.0
1997,mineria,7.0,979.0,41498.0
1997,salud_social,3.0,387.0,4392.0
1997,transporte,15.0,3265.0,27708.0
1998,comercio,1.0,73.0,1168.0
1998,construccion,14.0,10075.0,105153.0
1998,electricidad_agua,2.0,52.0,956.0
1998,inmobiliario,1.0,50.0,2400.0
1998,manufactura,15.0,1698.0,110704.0
1998,mineria,12.0,2578.0,76288.0
1998,transporte,13.0,2807.0,26499.0
1999,agricultura,1.0,52.0,7488.0
1999,construccion,13.0,6398.0,62860.0
1999,electricidad_agua,1.0,31.0,188.0
1999,ensenanza,1.0,9.0,72.0
1999,manufactura,17.0,1690.0,18647.0
1999,mineria,12.0,3369.0,63309.0
1999,paro_nacional,1.0,36394.0,291152.0
1999,pesca,3.0,912.0,8448.0
1999,transporte,22.0,3225.0,272096.0
2000,adm_publica,1.0,120.0,1920.0
2000,construccion,6.0,1175.0,17264.0
2000,electricidad_agua,5.0,514.0,4900.0
2000,manufactura,7.0,1220.0,19327.0
2000,mineria,9.0,1323.0,18576.0
2000,transporte,9.0,928.0,119704.0
2001,adm_publica,1.0,36.0,288.0
2001,agricultura,2.0,1303.0,207616.0
2001,comercio,1.0,73.0,584.0
2001,construccion,9.0,1359.0,34568.0
2001,inmobiliario,1.0,30.0,240.0
2001,manufactura,11.0,6128.0,175626.0
2001,mineria,15.0,2121.0,70008.0
2002,adm_publica,1.0,11.0,88.0
2002,agricultura,1.0,67.0,536.0
2002,construccion,4.0,3306.0,94880.0
2002,electricidad_agua,4.0,1724.0,13792.0
2002,inmobiliario,9.0,1642.0,39408.0
2002,manufactura,10.0,3583.0,135872.0
2002,mineria,20.0,7712.0,376768.0
2002,paro_nacional,3.0,2266.0,18128.0
2002,salud_social,1.0,77.0,616.0
2002,transporte,11.0,2537.0,232560.0
2003,adm_publica,6.0,1325.0,10888.0
2003,agricultura,2.0,400.0,2000.0
2003,comercio,2.0,13.0,776.0
2003,construccion,6.0,19047.0,577112.0
2003,electricidad_agua,8.0,768.0,4774.0
2003,ensenanza,1.0,245.0,1960.0
2003,inmobiliario,3.0,2483.0,56168.0
2003,manufactura,21.0,9099.0,163368.0
2003,mineria,4.0,1554.0,43200.0
2003,otros_servicios,1.0,39.0,5312.0
2003,salud_social,2.0,37.0,464.0
2003,transporte,12.0,2313.0,15340.0
2004,adm_publica,13.0,1811.0,14488.0
2004,agricultura,1.0,139.0,1112.0
2004,construccion,5.0,569.0,7544.0
2004,electricidad_agua,16.0,3761.0,31848.0
2004,ensenanza,1.0,42.0,336.0
2004,inmobiliario,3.0,1984.0,15872.0
2004,manufactura,26.0,7208.0,283040.0
2004,mineria,21.0,9020.0,179184.0
2004,otros_servicios,1.0,112.0,896.0
2004,salud_social,6.0,1197.0,10128.0
2004,transporte,14.0,3430.0,37880.0
2005,adm_publica,6.0,889.0,16480.0
2005,construccion,4.0,882.0,16112.0
2005,electricidad_agua,14.0,2387.0,22064.0
2005,ensenanza,3.0,224.0,1792.0
2005,inmobiliario,2.0,33.0,640.0
2005,manufactura,7.0,4684.0,56712.0
2005,mineria,12.0,3475.0,118808.0
2005,otros_servicios,1.0,46.0,368.0
2005,salud_social,9.0,5480.0,231988.0
2005,transporte,7.0,922.0,13774.0
2006,adm_publica,6.0,956.0,7304.0
2006,comercio,2.0,306.0,2448.0
2006,construccion,9.0,550.0,20440.0
2006,electricidad_agua,12.0,5686.0,42958.0
2006,ensenanza,1.0,148.0,1184.0
2006,inmobiliario,7.0,3387.0,185184.0
2006,manufactura,6.0,702.0,17832.0
2006,mineria,10.0,2841.0,82632.0
2006,salud_social,1.0,18.0,144.0
2006,transporte,13.0,4971.0,86458.0
2007,adm_publica,4.0,386.0,4032.0
2007,agricultura,2.0,800.0,6400.0
2007,construccion,9.0,730.0,25792.0
2007,electricidad_agua,3.0,518.0,9776.0
2007,ensenanza,2.0,53.0,424.0
2007,financiero,1.0,8.0,64.0
2007,inmobiliario,2.0,100.0,800.0
