anio,ancash,andres_a_caceres,apurimac,arequipa,ayacucho,cajamarca,callao,chavin,cusco,grau,huancavelica,huanuco,ica,inka,junin,la_libertad,lambayeque,libertadores_wari,lima,lima_metropolitana,lima_provincia,loreto,moquegua,moquegua_tacna_puno,nor_oriental_del_maranon,otros,pasco,piura,puno,san_martin,tacna,tumbes,ucayali
1994,0.0,7.0,0.0,20.0,0.0,0.0,0.0,3.0,0.0,8.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0,4.0,101.0,0.0,0.0,3.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1995,0.0,9.0,0.0,7.0,0.0,0.0,0.0,5.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,45.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,0.0,8.0,0.0,2.0,0.0,0.0,0.0,11.0,0.0,10.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,2.0,26.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997,0.0,3.0,0.0,6.0,0.0,0.0,0.0,13.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,4.0,0.0,4.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998,0.0,8.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,2.0,23.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1999,4.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,7.0,1.0,7.0,0.0,25.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0
2000,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,1.0,1.0,0.0,0.0,0.0
2001,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0
2002,4.0,0.0,1.0,6.0,0.0,0.0,6.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,14.0,4.0,4.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,1.0,0.0,2.0,0.0,0.0
2003,4.0,0.0,0.0,3.0,1.0,0.0,6.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,6.0,13.0,0.0,0.0,0.0,19.0,0.0,1.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,1.0,0.0,0.0
