anio,categoria_homologada_agregada,huelgas,trabajadores_comprendidos,horas_hombre_perdidas
1994,andres_a_caceres,7.0,6198.0,396152.0
1994,arequipa,20.0,6632.0,221879.0
1994,chavin,3.0,1146.0,14840.0
1994,grau,8.0,6291.0,70304.0
1994,inka,3.0,1069.0,66064.0
1994,la_libertad,7.0,1023.0,11752.0
1994,libertadores_wari,4.0,833.0,14104.0
1994,lima,101.0,36975.0,1048396.0
1994,loreto,3.0,194.0,2472.0
1994,moquegua_tacna_puno,4.0,680.0,13528.0
1994,nor_oriental_del_maranon,7.0,1847.0,76740.0
1994,san_martin,1.0,52.0,416.0
1995,andres_a_caceres,9.0,2529.0,76760.0
1995,arequipa,7.0,2168.0,285119.0
1995,chavin,5.0,817.0,13216.0
1995,grau,16.0,3914.0,61928.0
1995,la_libertad,6.0,1755.0,36712.0
1995,libertadores_wari,6.0,746.0,113712.0
1995,lima,45.0,15029.0,442042.0
1995,loreto,3.0,805.0,11896.0
1995,moquegua_tacna_puno,1.0,18.0,432.0
1995,nor_oriental_del_maranon,4.0,401.0,6936.0
1996,andres_a_caceres,8.0,2267.0,108728.0
1996,arequipa,2.0,560.0,6208.0
1996,chavin,11.0,3475.0,185122.0
1996,grau,10.0,4442.0,168088.0
1996,inka,2.0,636.0,40896.0
1996,la_libertad,7.0,830.0,7464.0
1996,libertadores_wari,2.0,1353.0,378840.0
1996,lima,26.0,20231.0,273540.0
1996,loreto,2.0,149.0,5528.0
1996,moquegua_tacna_puno,5.0,1699.0,218432.0
1997,andres_a_caceres,3.0,571.0,9584.0
1997,arequipa,6.0,1470.0,7320.0
1997,chavin,13.0,888.0,47160.0
1997,grau,8.0,1605.0,28166.0
1997,inka,8.0,1662.0,8292.0
1997,la_libertad,4.0,511.0,34978.0
1997,libertadores_wari,4.0,603.0,9400.0
1997,lima,20.0,11544.0,168938.0
1998,andres_a_caceres,8.0,1490.0,33581.0
1998,arequipa,8.0,2209.0,13307.0
1998,chavin,2.0,402.0,3376.0
1998,grau,3.0,795.0,12640.0
1998,inka,2.0,414.0,12472.0
1998,la_libertad,4.0,707.0,12112.0
1998,libertadores_wari,2.0,231.0,5776.0
1998,lima,23.0,9395.0,193080.0
1998,moquegua_tacna_puno,5.0,898.0,23184.0
1998,san_martin,1.0,83.0,7968.0
1999,ancash,4.0,653.0,9276.0
1999,arequipa,11.0,6929.0,131848.0
1999,cusco,4.0,3066.0,76208.0
1999,ica,2.0,1159.0,10424.0
1999,junin,7.0,3203.0,54637.0
1999,la_libertad,1.0,223.0,3896.0
1999,lambayeque,7.0,1198.0,15523.0
1999,lima,25.0,23677.0,293252.0
1999,moquegua,2.0,926.0,8608.0
1999,pasco,3.0,1575.0,44880.0
1999,piura,5.0,2977.0,23756.0
2000,ancash,3.0,533.0,9424.0
2000,arequipa,4.0,530.0,10604.0
2000,cusco,1.0,120.0,1920.0
2000,huancavelica,1.0,169.0,4056.0
