modulo,categoria_homologada_agregada,categoria_homologada_fina,regla_homologacion,nivel_territorial,anio_min,anio_max,n_anios
actividad,adm_publica,adm_publica,administracion publica -> adm_publica,,2000,2024,25
actividad,agricultura,agricultura,agricultura -> agricultura,,1994,2024,22
actividad,comercio,comercio,comercio/hoteles -> comercio,,1995,2024,16
actividad,comercio,comercio,comercio/restaurantes/hoteles -> comercio,,1998,2003,3
actividad,construccion,construccion,construccion -> construccion,,1995,2024,24
actividad,electricidad_agua,electricidad_agua,electricidad/gas/agua -> electricidad_agua,,1994,2024,25
actividad,ensenanza,ensenanza,ensenanza -> ensenanza,,1995,2024,20
actividad,explotacion_de_petroleo_y_gas_natural,explotacion_de_petroleo_y_gas_natural,sin traduccion adicional; se normaliza el texto,,1996,1996,1
actividad,financiero,financiero,intermediacion financiera/AFP -> financiero,,1994,2024,12
actividad,inmobiliario,inmobiliario,actividades inmobiliarias/alquiler -> inmobiliario,,1995,2019,13
actividad,inmobiliario,inmobiliario,inmobiliario/alquiler -> inmobiliario,,1997,2003,5
actividad,manufactura,manufactura,manufactura -> manufactura,,1996,2003,8
actividad,manufactura,manufactura,manufacturas -> manufactura,,1994,2024,23
actividad,mineria,mineria,minas y canteras -> mineria,,1994,2024,23
actividad,mineria,mineria,minas y canteras/extraccion de petroleo -> mineria,,1996,2003,8
actividad,otros_servicios,otros_servicios,otras actividades de servicios -> otros_servicios,,2003,2024,13
actividad,paro_nacional,paro_nacional,paro civico/paros nacionales -> paro_nacional,,1999,2002,2
actividad,paro_nacional,paro_nacional,paro nacional/paros -> paro_nacional,,2008,2008,1
actividad,pesca,pesca,pesca -> pesca,,1994,2015,7
actividad,salud_social,salud_social,servicios comunales y sociales -> salud_social,,1994,1995,2
actividad,salud_social,salud_social,servicios comunales/sociales -> salud_social,,1996,1997,2
actividad,salud_social,salud_social,servicios sociales y de salud -> salud_social,,1994,2024,21
actividad,transporte,transporte,transporte/comunicaciones -> transporte,,1994,2023,28
calificacion,ilegal,ilegal,improcedente/ilegalidad -> ilegal,,1996,2024,29
calificacion,procedente,procedente,conforme/procedencia -> procedente,,1996,2012,17
calificacion,procedente,procedente,procedente -> procedente,,2013,2024,12
causas,otras_causas,otras_causas,otras causas -> otras_causas,,1994,2024,31
causas,pliego_reclamos,pliego_reclamos,pliego reclamos -> pliego_reclamos,,1994,2024,31
duracion,16_mas_dias,16_21_dias,16-21 dias -> fina 16_21_dias; agregada 16_mas_dias,,2012,2024,12
