anio,modulo,hoja_excel,categoria_original,categoria_homologada_fina,categoria_homologada_agregada,regla_homologacion,nivel_territorial,territorio_padre,huelgas,pct_huelgas,trabajadores_comprendidos,pct_trabajadores,horas_hombre_perdidas,pct_horas,flag_hhp_arrastre,flag_faltante_fuente,flag_paro_nacional_registrado_lima,nota_fuente,archivo_homologado,carpeta_bloque,tipo_anio
1996,calificacion,C-11,CON AUTO DE ILEGALIDAD,ilegal,ilegal,improcedente/ilegalidad -> ilegal,,,70.0,,34211.0,,942174.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCION SOCIAL | ELABORADO : OFICINA DE ESTADISTICA E INFORMATICA / OFICINA DE ESTADISTICA | 1996: calificacion leida desde C-11.,huelgas_1996_homologado.xlsx,era2_homologados_1996_1999,completo_layout_antiguo
1996,calificacion,C-11,CONFORME ART. 73 DEL D.L. 25593,procedente,procedente,conforme/procedencia -> procedente,,,7.0,,2031.0,,457712.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCION SOCIAL | ELABORADO : OFICINA DE ESTADISTICA E INFORMATICA / OFICINA DE ESTADISTICA | 1996: calificacion leida desde C-11.,huelgas_1996_homologado.xlsx,era2_homologados_1996_1999,completo_layout_antiguo
1997,calificacion,C-8,CON AUTO DE ILEGALIDAD,ilegal,ilegal,improcedente/ilegalidad -> ilegal,,,65.0,,19076.0,,316534.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCION SOCIAL | ELABORADO : OFICINA DE ESTADISTICA E INFORMATICA / OFICINA DE ESTADISTICA | 1997: calificacion leida desde C-8.,huelgas_1997_homologado.xlsx,era2_homologados_1996_1999,completo_layout_antiguo
1997,calificacion,C-8,CONFORME ART. 73 DEL D.L. 25593,procedente,procedente,conforme/procedencia -> procedente,,,1.0,,120.0,,2880.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCION SOCIAL | ELABORADO : OFICINA DE ESTADISTICA E INFORMATICA / OFICINA DE ESTADISTICA | 1997: calificacion leida desde C-8.,huelgas_1997_homologado.xlsx,era2_homologados_1996_1999,completo_layout_antiguo
1998,calificacion,C-7,CON AUTO DE ILEGALIDAD,ilegal,ilegal,improcedente/ilegalidad -> ilegal,,,55.0,,16986.0,,296740.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCION SOCIAL | 1998: calificacion leida desde C-7.,huelgas_1998_homologado.xlsx,era2_homologados_1996_1999,completo_layout_antiguo
1998,calificacion,C-7,CONFORME ART. 73 DEL D.L. 25593,procedente,procedente,conforme/procedencia -> procedente,,,3.0,,347.0,,26428.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCION SOCIAL | 1998: calificacion leida desde C-7.,huelgas_1998_homologado.xlsx,era2_homologados_1996_1999,completo_layout_antiguo
1999,calificacion,C-7,CON AUTO DE ILEGALIDAD,ilegal,ilegal,improcedente/ilegalidad -> ilegal,,,69.0,,51243.0,,710492.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCION SOCIAL | 1999: calificacion leida desde C-7.,huelgas_1999_homologado.xlsx,era2_homologados_1996_1999,completo_layout_antiguo
1999,calificacion,C-7,CONFORME ART. 73 DEL D.L. 25593,procedente,procedente,conforme/procedencia -> procedente,,,2.0,,837.0,,13768.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCION SOCIAL | 1999: calificacion leida desde C-7.,huelgas_1999_homologado.xlsx,era2_homologados_1996_1999,completo_layout_antiguo
2000,calificacion,C-7,CON AUTO DE ILEGALIDAD,ilegal,ilegal,improcedente/ilegalidad -> ilegal,,,36.0,,5272.0,,180091.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCION SOCIAL | ELABORADO : OFICINA DE ESTADISTICA E INFORMATICA / OFICINA DE ESTADISTICA | 2000: calificacion leida desde C-7.,huelgas_2000_homologado.xlsx,era2_homologados_2000_2003,completo
2000,calificacion,C-7,CONFORME ART. 73 DEL D.L. 25593,procedente,procedente,conforme/procedencia -> procedente,,,1.0,,8.0,,1600.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCION SOCIAL | ELABORADO : OFICINA DE ESTADISTICA E INFORMATICA / OFICINA DE ESTADISTICA | 2000: calificacion leida desde C-7.,huelgas_2000_homologado.xlsx,era2_homologados_2000_2003,completo
2001,calificacion,C-7,CON AUTO DE ILEGALIDAD,ilegal,ilegal,improcedente/ilegalidad -> ilegal,,,37.0,,10513.0,,433106.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCION DEL EMPLEO | ELABORADO : OFICINA DE ESTADISTICA E INFORMATICA / OFICINA DE ESTADISTICA | 2001: calificacion leida desde C-7.,huelgas_2001_homologado.xlsx,era2_homologados_2000_2003,completo
2001,calificacion,C-7,CONFORME ART. 73 DEL D.L. 25593,procedente,procedente,conforme/procedencia -> procedente,,,3.0,,537.0,,55824.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCION DEL EMPLEO | ELABORADO : OFICINA DE ESTADISTICA E INFORMATICA / OFICINA DE ESTADISTICA | 2001: calificacion leida desde C-7.,huelgas_2001_homologado.xlsx,era2_homologados_2000_2003,completo
2002,calificacion,C-7,CON AUTO DE ILEGALIDAD,ilegal,ilegal,improcedente/ilegalidad -> ilegal,,,60.0,,19231.0,,717536.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCION DEL EMPLEO | ELABORADO : OFICINA DE ESTADISTICA E INFORMATICA / OFICINA DE ESTADISTICA | 2002: calificacion leida desde C-7.,huelgas_2002_homologado.xlsx,era2_homologados_2000_2003,completo
2002,calificacion,C-7,CONFORME ART. 73 DEL D.L. Nº 25593,procedente,procedente,conforme/procedencia -> procedente,,,4.0,,3694.0,,195112.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCION DEL EMPLEO | ELABORADO : OFICINA DE ESTADISTICA E INFORMATICA / OFICINA DE ESTADISTICA | 2002: calificacion leida desde C-7.,huelgas_2002_homologado.xlsx,era2_homologados_2000_2003,completo
2003,calificacion,C-7,CON AUTO DE ILEGALIDAD,ilegal,ilegal,improcedente/ilegalidad -> ilegal,,,64.0,,17702.0,,275722.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCION DEL EMPLEO | ELABORADO : OFICINA DE ESTADISTICA E INFORMATICA / OFICINA DE ESTADISTICA | 2003: calificacion leida desde C-7.,huelgas_2003_homologado.xlsx,era2_homologados_2000_2003,completo
2003,calificacion,C-7,CONFORME ART. 73 DEL D.L. 25593,procedente,procedente,conforme/procedencia -> procedente,,,4.0,,19621.0,,605640.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCION DEL EMPLEO | ELABORADO : OFICINA DE ESTADISTICA E INFORMATICA / OFICINA DE ESTADISTICA | 2003: calificacion leida desde C-7.,huelgas_2003_homologado.xlsx,era2_homologados_2000_2003,completo
2004,calificacion,C-7,CON AUTO DE ILEGALIDAD,ilegal,ilegal,improcedente/ilegalidad -> ilegal,,,104.0,,28033.0,,491696.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCION DEL EMPLEO | ELABORADO : OFICINA DE ESTADISTICA E INFORMATICA / OFICINA DE ESTADISTICA,huelgas_2004_homologado.xlsx,era2_homologados_2004_2020,completo
