anio,modulo,hoja_excel,categoria_original,categoria_homologada_fina,categoria_homologada_agregada,regla_homologacion,nivel_territorial,territorio_padre,huelgas,pct_huelgas,trabajadores_comprendidos,pct_trabajadores,horas_hombre_perdidas,pct_horas,flag_hhp_arrastre,flag_faltante_fuente,flag_paro_nacional_registrado_lima,nota_fuente,archivo_homologado,carpeta_bloque,tipo_anio
1994,actividad,C-3,"AGRICULTURA, GANADERIA CAZA Y SILVICULTURA",agricultura,agricultura,agricultura -> agricultura,,,2.0,,311.0,,14928.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCION SOCIAL | ELABORADO : OFICINA DE ESTADISTICA E INFORMATICA / OFICINA DE ESTADISTICA | 1994: actividad recuperada desde serie anual 1991-1995; se toma solo la columna 1994.,huelgas_1994_homologado.xlsx,era1_homologados,parcial
1994,actividad,C-3,"ELECTRICIDAD, GAS Y AGUA",electricidad_agua,electricidad_agua,electricidad/gas/agua -> electricidad_agua,,,21.0,,13871.0,,169948.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCION SOCIAL | ELABORADO : OFICINA DE ESTADISTICA E INFORMATICA / OFICINA DE ESTADISTICA | 1994: actividad recuperada desde serie anual 1991-1995; se toma solo la columna 1994.,huelgas_1994_homologado.xlsx,era1_homologados,parcial
1994,actividad,C-3,INTERMEDIACION FINANCIERA,financiero,financiero,intermediacion financiera/AFP -> financiero,,,1.0,,520.0,,4160.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCION SOCIAL | ELABORADO : OFICINA DE ESTADISTICA E INFORMATICA / OFICINA DE ESTADISTICA | 1994: actividad recuperada desde serie anual 1991-1995; se toma solo la columna 1994.,huelgas_1994_homologado.xlsx,era1_homologados,parcial
1994,actividad,C-3,INDUSTRIA MANUFACTURERA,manufactura,manufactura,manufacturas -> manufactura,,,65.0,,10890.0,,641020.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCION SOCIAL | ELABORADO : OFICINA DE ESTADISTICA E INFORMATICA / OFICINA DE ESTADISTICA | 1994: actividad recuperada desde serie anual 1991-1995; se toma solo la columna 1994.,huelgas_1994_homologado.xlsx,era1_homologados,parcial
1994,actividad,C-3,"MINAS Y CANTERAS, EXTRACC. DE PETROLEO",mineria,mineria,minas y canteras -> mineria,,,35.0,,20010.0,,615688.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCION SOCIAL | ELABORADO : OFICINA DE ESTADISTICA E INFORMATICA / OFICINA DE ESTADISTICA | 1994: actividad recuperada desde serie anual 1991-1995; se toma solo la columna 1994.,huelgas_1994_homologado.xlsx,era1_homologados,parcial
1994,actividad,C-3,PESCA,pesca,pesca,pesca -> pesca,,,5.0,,657.0,,5256.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCION SOCIAL | ELABORADO : OFICINA DE ESTADISTICA E INFORMATICA / OFICINA DE ESTADISTICA | 1994: actividad recuperada desde serie anual 1991-1995; se toma solo la columna 1994.,huelgas_1994_homologado.xlsx,era1_homologados,parcial
1994,actividad,C-3,SERVICIOS COMUNALES Y SOCIALES,salud_social,salud_social,servicios comunales y sociales -> salud_social,,,8.0,,2680.0,,51576.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCION SOCIAL | ELABORADO : OFICINA DE ESTADISTICA E INFORMATICA / OFICINA DE ESTADISTICA | 1994: actividad recuperada desde serie anual 1991-1995; se toma solo la columna 1994.,huelgas_1994_homologado.xlsx,era1_homologados,parcial
1994,actividad,C-3,SERVICIOS SOC. Y SALUD,salud_social,salud_social,servicios sociales y de salud -> salud_social,,,2.0,,217.0,,2808.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCION SOCIAL | ELABORADO : OFICINA DE ESTADISTICA E INFORMATICA / OFICINA DE ESTADISTICA | 1994: actividad recuperada desde serie anual 1991-1995; se toma solo la columna 1994.,huelgas_1994_homologado.xlsx,era1_homologados,parcial
1994,actividad,C-3,"TRANSPORTE, ALMAC. Y COMUNICACIONES",transporte,transporte,transporte/comunicaciones -> transporte,,,29.0,,13784.0,,431263.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCION SOCIAL | ELABORADO : OFICINA DE ESTADISTICA E INFORMATICA / OFICINA DE ESTADISTICA | 1994: actividad recuperada desde serie anual 1991-1995; se toma solo la columna 1994.,huelgas_1994_homologado.xlsx,era1_homologados,parcial
1994,causas,C-9,OTRAS CAUSAS,otras_causas,otras_causas,otras causas -> otras_causas,,,100.0,,43116.0,,666435.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCION SOCIAL | ELABORADO : OFICINA DE ESTADISTICA E INFORMATICA / OFICINA DE ESTADISTICA | 1994: causas recuperadas desde serie anual 1987-1995; se toma solo la fila 1994.,huelgas_1994_homologado.xlsx,era1_homologados,parcial
