anio,modulo,hoja_excel,metrica,total_extraido,total_fuente,diferencia,estado,archivo_homologado,carpeta_bloque
1993,calificacion,,horas_hombre_perdidas,,,,no_disponible,huelgas_1993_homologado.xlsx,era1_homologados
1993,calificacion,,huelgas,,,,no_disponible,huelgas_1993_homologado.xlsx,era1_homologados
1993,calificacion,,trabajadores_comprendidos,,,,no_disponible,huelgas_1993_homologado.xlsx,era1_homologados
1994,calificacion,,horas_hombre_perdidas,,,,no_disponible,huelgas_1994_homologado.xlsx,era1_homologados
1994,calificacion,,huelgas,,,,no_disponible,huelgas_1994_homologado.xlsx,era1_homologados
1994,calificacion,,trabajadores_comprendidos,,,,no_disponible,huelgas_1994_homologado.xlsx,era1_homologados
1995,calificacion,,horas_hombre_perdidas,,,,no_disponible,huelgas_1995_homologado.xlsx,era1_homologados
1995,calificacion,,huelgas,,,,no_disponible,huelgas_1995_homologado.xlsx,era1_homologados
1995,calificacion,,trabajadores_comprendidos,,,,no_disponible,huelgas_1995_homologado.xlsx,era1_homologados
1996,calificacion,C-11,horas_hombre_perdidas,1399886.0,1399886.0,0.0,ok,huelgas_1996_homologado.xlsx,era2_homologados_1996_1999
1996,calificacion,C-11,huelgas,77.0,77.0,0.0,ok,huelgas_1996_homologado.xlsx,era2_homologados_1996_1999
1996,calificacion,C-11,trabajadores_comprendidos,36242.0,36242.0,0.0,ok,huelgas_1996_homologado.xlsx,era2_homologados_1996_1999
1997,calificacion,C-8,horas_hombre_perdidas,319414.0,319414.0,0.0,ok,huelgas_1997_homologado.xlsx,era2_homologados_1996_1999
1997,calificacion,C-8,huelgas,66.0,66.0,0.0,ok,huelgas_1997_homologado.xlsx,era2_homologados_1996_1999
1997,calificacion,C-8,trabajadores_comprendidos,19196.0,19196.0,0.0,ok,huelgas_1997_homologado.xlsx,era2_homologados_1996_1999
1998,calificacion,C-7,horas_hombre_perdidas,323168.0,323168.0,0.0,ok,huelgas_1998_homologado.xlsx,era2_homologados_1996_1999
1998,calificacion,C-7,huelgas,58.0,58.0,0.0,ok,huelgas_1998_homologado.xlsx,era2_homologados_1996_1999
1998,calificacion,C-7,trabajadores_comprendidos,17333.0,17333.0,0.0,ok,huelgas_1998_homologado.xlsx,era2_homologados_1996_1999
1999,calificacion,C-7,horas_hombre_perdidas,724260.0,724260.0,0.0,ok,huelgas_1999_homologado.xlsx,era2_homologados_1996_1999
1999,calificacion,C-7,huelgas,71.0,71.0,0.0,ok,huelgas_1999_homologado.xlsx,era2_homologados_1996_1999
1999,calificacion,C-7,trabajadores_comprendidos,52080.0,52080.0,0.0,ok,huelgas_1999_homologado.xlsx,era2_homologados_1996_1999
