anio,huelgas_total,trabajadores_total,horas_total,sector_principal_huelgas,sector_principal_huelgas_valor,sector_principal_trabajadores,sector_principal_horas,territorio_principal_huelgas,territorio_principal_huelgas_valor,territorio_principal_trabajadores,territorio_principal_horas,huelgas_ilegal,huelgas_procedente,huelgas_total_observado,pct_ilegal_huelgas,pct_sector_principal_huelgas,pct_territorio_principal_huelgas
1994,168.0,62940.0,1936647.0,manufactura,65.0,10890.0,641020.0,lima,101.0,36975.0,1048396.0,,,,,0.3869047619047619,0.6011904761904762
1995,102.0,28182.0,1048753.0,mineria,37.0,14214.0,286656.0,lima,45.0,15029.0,442042.0,,,,,0.3627450980392157,0.4411764705882353
1996,77.0,36242.0,1399886.0,construccion,21.0,15063.0,219400.0,lima,26.0,20231.0,273540.0,70.0,7.0,77.0,0.9090909090909091,0.2727272727272727,0.33766233766233766
1997,66.0,19196.0,319414.0,construccion,22.0,6507.0,165832.0,lima,20.0,11544.0,168938.0,65.0,1.0,66.0,0.9848484848484849,0.3333333333333333,0.30303030303030304
1998,58.0,17333.0,323168.0,manufactura,15.0,1698.0,110704.0,lima,23.0,9395.0,193080.0,55.0,3.0,58.0,0.9482758620689655,0.25862068965517243,0.39655172413793105
1999,71.0,52080.0,724260.0,transporte,22.0,3225.0,272096.0,lima,25.0,23677.0,293252.0,69.0,2.0,71.0,0.971830985915493,0.30985915492957744,0.352112676056338
2000,37.0,5280.0,181691.0,mineria,9.0,1323.0,18576.0,lambayeque,7.0,1211.0,18543.0,36.0,1.0,37.0,0.972972972972973,0.24324324324324326,0.1891891891891892
2001,40.0,11050.0,488930.0,mineria,15.0,2121.0,70008.0,lima_provincia,15.0,1350.0,77178.0,37.0,3.0,40.0,0.925,0.375,0.375
2002,64.0,22925.0,912648.0,mineria,20.0,7712.0,376768.0,junin,14.0,2743.0,105224.0,60.0,4.0,64.0,0.9375,0.3125,0.21875
2003,68.0,37323.0,881362.0,manufactura,21.0,9099.0,163368.0,lima_provincia,19.0,15840.0,468774.0,64.0,4.0,68.0,0.9411764705882353,0.3088235294117647,0.27941176470588236
2004,107.0,29273.0,582328.0,manufactura,26.0,7208.0,283040.0,lima_provincia,35.0,9034.0,187440.0,104.0,3.0,107.0,0.9719626168224299,0.24299065420560748,0.32710280373831774
2005,65.0,19022.0,478738.0,electricidad_agua,14.0,2387.0,22064.0,lima_provincia,21.0,5831.0,142048.0,63.0,2.0,65.0,0.9692307692307692,0.2153846153846154,0.3230769230769231
2006,67.0,19565.0,446584.0,transporte,13.0,4971.0,86458.0,lima_provincia,16.0,6898.0,57936.0,65.0,2.0,67.0,0.9701492537313433,0.19402985074626866,0.23880597014925373
2007,73.0,48096.0,2216520.0,mineria,29.0,41676.0,2057232.0,lima_provincia,23.0,19033.0,1263544.0,71.0,2.0,73.0,0.9726027397260274,0.3972602739726027,0.3150684931506849
2008,63.0,34011.0,1520960.0,mineria,39.0,28136.0,1418424.0,lima_provincia,21.0,18498.0,850080.0,59.0,4.0,63.0,0.9365079365079365,0.6190476190476191,0.3333333333333333
2009,99.0,36114.0,1452466.0,mineria,33.0,20577.0,1034840.0,lima_provincia,24.0,5180.0,133792.0,91.0,8.0,99.0,0.9191919191919192,0.3333333333333333,0.24242424242424243
2010,83.0,30606.0,1279380.0,mineria,36.0,16377.0,613540.0,lima_provincia,36.0,12533.0,305268.0,70.0,13.0,83.0,0.8433734939759037,0.43373493975903615,0.43373493975903615
2011,84.0,26770.0,1799416.0,mineria,30.0,14416.0,1308808.0,lima_metropolitana,27.0,9020.0,543184.0,65.0,19.0,84.0,0.7738095238095238,0.35714285714285715,0.32142857142857145
2012,89.0,25845.0,1878696.0,mineria,30.0,9049.0,1034080.0,lima_metropolitana,30.0,5964.0,304258.0,74.0,15.0,89.0,0.8314606741573034,0.33707865168539325,0.33707865168539325
2013,94.0,26736.0,1573202.0,mineria,33.0,12144.0,1057074.0,lima_metropolitana,24.0,5730.0,197042.0,69.0,25.0,94.0,0.7340425531914894,0.35106382978723405,0.2553191489361702
2014,95.0,40681.0,3153018.0,mineria,32.0,14748.0,1170064.0,lima_metropolitana,43.0,10971.0,828640.0,80.0,15.0,95.0,0.8421052631578947,0.3368421052631579,0.45263157894736844
2015,47.0,32066.0,1925632.0,mineria,11.0,11173.0,1176912.0,lima_metropolitana,23.0,16836.0,458744.0,41.0,6.0,47.0,0.8723404255319149,0.23404255319148937,0.48936170212765956
