anio,region,sector_principal_region,sector_principal_huelgas,sector_principal_trabajadores,sector_principal_horas,huelgas_region_total,trabajadores_region_total,horas_region_total,participacion_sector_principal_huelgas
2001,arequipa,constru_ccion,1.0,257.0,2056.0,1.0,257.0,2056.0,1.0
2001,callao,constru_ccion,1.0,19.0,912.0,1.0,19.0,912.0,1.0
2001,cusco,constru_ccion,0.0,25.0,200.0,0.0,25.0,200.0,
2001,huancavelica,mineria,1.0,248.0,7936.0,1.0,248.0,7936.0,1.0
2001,huanuco,mineria,1.0,46.0,5520.0,1.0,46.0,5520.0,1.0
2001,lima_provincia,mineria,4.0,503.0,37528.0,13.0,1315.0,74618.0,0.3076923076923077
2001,pasco,mineria,7.0,592.0,7848.0,8.0,1042.0,22248.0,0.875
2001,piura,constru_ccion,2.0,274.0,11080.0,3.0,678.0,14312.0,0.6666666666666666
2002,arequipa,electricidad_agua,1.0,121.0,968.0,1.0,882.0,40832.0,1.0
2002,ayacucho,transporte,0.0,2.0,192.0,0.0,2.0,192.0,
2002,cajamarca,transporte,0.0,5.0,1792.0,0.0,5.0,1792.0,
2002,callao,transporte,6.0,255.0,2520.0,6.0,255.0,2520.0,1.0
2002,cusco,constru_ccion,0.0,233.0,7456.0,0.0,236.0,7488.0,
2002,huancavelica,mineria,1.0,199.0,4776.0,1.0,201.0,5336.0,1.0
2002,huanuco,transporte,0.0,5.0,184.0,0.0,5.0,184.0,
2002,ica,mineria,2.0,1006.0,108376.0,2.0,1021.0,108856.0,1.0
2002,lima_provincia,industria_manu_facturera,3.0,312.0,3520.0,6.0,2297.0,175104.0,0.5
2002,moquegua,transporte,0.0,6.0,56.0,0.0,6.0,56.0,
2002,pasco,mineria,7.0,3728.0,158280.0,7.0,3730.0,158360.0,1.0
2002,piura,constru_ccion,0.0,116.0,3712.0,0.0,134.0,9532.0,
2002,puno,electricidad_agua,1.0,70.0,560.0,1.0,76.0,2568.0,1.0
2002,tacna,mineria,2.0,425.0,23368.0,2.0,581.0,28272.0,1.0
2002,tumbes,transporte,0.0,2.0,16.0,0.0,2.0,16.0,
2003,arequipa,administra_publica_y_defensa,1.0,354.0,2832.0,3.0,1075.0,19520.0,0.3333333333333333
2003,ayacucho,inmobiliario,1.0,2100.0,33600.0,1.0,3732.0,84208.0,1.0
2003,callao,manufactura,21.0,9099.0,163368.0,68.0,37323.0,881362.0,0.3088235294117647
2003,cusco,electricidad_agua,2.0,274.0,822.0,3.0,498.0,4958.0,0.6666666666666666
2003,huanuco,construccion,0.0,48.0,384.0,0.0,48.0,384.0,
2003,ica,mineria,1.0,904.0,36160.0,2.0,1911.0,74656.0,0.5
2003,lima_provincia,manufactura,4.0,204.0,26496.0,12.0,13597.0,452104.0,0.3333333333333333
2003,moquegua,construccion,0.0,258.0,2064.0,0.0,258.0,2064.0,
2003,piura,administra_publica_y_defensa,3.0,323.0,2584.0,7.0,1252.0,15352.0,0.42857142857142855
2003,tacna,salud_social,1.0,21.0,336.0,1.0,76.0,1616.0,1.0
2004,arequipa,electricidad_agua,4.0,354.0,2832.0,6.0,670.0,6208.0,0.6666666666666666
2004,ayacucho,salud_social,0.0,4.0,32.0,0.0,5.0,40.0,
2004,cajamarca,salud_social,0.0,4.0,32.0,0.0,6.0,48.0,
2004,callao,manufactura,26.0,7208.0,283040.0,107.0,29273.0,582328.0,0.24299065420560748
2004,cusco,manufactura,0.0,96.0,1152.0,0.0,135.0,1464.0,
2004,huancavelica,salud_social,0.0,6.0,48.0,0.0,9.0,72.0,
2004,huanuco,salud_social,0.0,17.0,176.0,0.0,17.0,176.0,
2004,ica,mineria,3.0,2012.0,74752.0,7.0,2593.0,81368.0,0.42857142857142855
2004,lima_provincia,manufactura,10.0,1752.0,106720.0,21.0,5151.0,138560.0,0.47619047619047616
2004,moquegua,mineria,2.0,867.0,13880.0,2.0,872.0,13920.0,1.0
2004,piura,electricidad_agua,2.0,250.0,2000.0,6.0,633.0,6504.0,0.3333333333333333
2004,puno,salud_social,0.0,6.0,48.0,0.0,7.0,64.0,
2004,tacna,mineria,2.0,671.0,7960.0,3.0,749.0,8584.0,0.6666666666666666
2004,tumbes,administra_publica_y_defensa,3.0,86.0,688.0,3.0,92.0,760.0,1.0
2005,arequipa,transporte,1.0,72.0,576.0,1.0,423.0,18736.0,1.0
2005,ayacucho,salud_social,0.0,42.0,2352.0,0.0,42.0,2352.0,
2005,cajamarca,salud_social,1.0,66.0,2736.0,2.0,112.0,3104.0,0.5
2005,callao,transporte,2.0,732.0,12368.0,3.0,1575.0,44176.0,0.6666666666666666
2005,cusco,salud_social,0.0,245.0,14416.0,0.0,292.0,15168.0,
2005,huancavelica,salud_social,0.0,22.0,1232.0,0.0,22.0,1232.0,
2005,huanuco,salud_social,0.0,89.0,2872.0,0.0,89.0,2872.0,
2005,ica,mineria,1.0,435.0,13904.0,3.0,922.0,40960.0,0.3333333333333333
2005,lima_provincia,salud_social,6.0,2211.0,77504.0,17.0,4169.0,96488.0,0.35294117647058826
2005,moquegua,construccion,1.0,800.0,12800.0,1.0,836.0,14888.0,1.0
2005,piura,administra_publica_y_defensa,2.0,450.0,10208.0,6.0,1005.0,22184.0,0.3333333333333333
2005,puno,salud_social,0.0,24.0,1440.0,0.0,24.0,1440.0,
2005,tacna,salud_social,1.0,118.0,3844.0,1.0,118.0,3844.0,1.0
2005,tumbes,electricidad_agua,1.0,49.0,392.0,1.0,62.0,1120.0,1.0
2006,arequipa,electricidad_agua,2.0,203.0,1624.0,3.0,637.0,8568.0,0.6666666666666666
2006,cajamarca,mineria,1.0,101.0,808.0,1.0,101.0,808.0,1.0
2006,callao,transporte,5.0,2849.0,23672.0,7.0,2950.0,25288.0,0.7142857142857143
2006,huancavelica,mineria,1.0,947.0,15152.0,1.0,947.0,15152.0,1.0
2006,ica,inmobiliario,6.0,1081.0,56048.0,7.0,1774.0,104240.0,0.8571428571428571
2006,lima_provincia,electricidad_agua,2.0,3159.0,25272.0,8.0,3899.0,30688.0,0.25
2006,piura,electricidad_agua,5.0,1847.0,12246.0,12.0,2211.0,29758.0,0.4166666666666667
2006,tacna,electricidad_agua,1.0,58.0,464.0,1.0,58.0,464.0,1.0
2007,arequipa,mineria,3.0,1626.0,39584.0,3.0,1626.0,39584.0,1.0
2007,ayacucho,mineria,0.0,45.0,360.0,0.0,45.0,360.0,
2007,cajamarca,mineria,0.0,109.0,1744.0,0.0,109.0,1744.0,
2007,callao,transporte,6.0,1894.0,74816.0,6.0,1894.0,74816.0,1.0
2007,huancavelica,mineria,0.0,448.0,11968.0,0.0,448.0,11968.0,
2007,huanuco,mineria,2.0,3713.0,212152.0,2.0,3713.0,212152.0,1.0
2007,ica,mineria,2.0,3243.0,130184.0,4.0,3412.0,132688.0,0.5
2007,lima_provincia,mineria,9.0,16444.0,1172176.0,16.0,17064.0,1188128.0,0.5625
2007,moquegua,mineria,3.0,2450.0,108296.0,3.0,2450.0,108296.0,1.0
2007,pasco,mineria,3.0,5173.0,70368.0,3.0,5173.0,70368.0,1.0
2007,piura,construccion,3.0,130.0,3240.0,6.0,518.0,8664.0,0.5
2007,puno,mineria,0.0,630.0,15360.0,0.0,630.0,15360.0,
2007,tacna,mineria,2.0,2024.0,107728.0,2.0,2024.0,107728.0,1.0
2007,tumbes,construccion,2.0,452.0,11040.0,2.0,452.0,11040.0,1.0
2008,arequipa,mineria,4.0,1857.0,99568.0,7.0,2001.0,102400.0,0.5714285714285714
2008,ayacucho,mineria,1.0,57.0,2736.0,1.0,57.0,2736.0,1.0
2008,callao,transporte,3.0,710.0,7992.0,5.0,876.0,10648.0,0.6
2008,huancavelica,mineria,2.0,1380.0,22080.0,2.0,1380.0,22080.0,1.0
2008,huanuco,mineria,5.0,2450.0,106800.0,5.0,2450.0,106800.0,1.0
2008,ica,mineria,1.0,656.0,41984.0,2.0,769.0,44696.0,0.5
2008,lima_provincia,mineria,8.0,14628.0,777448.0,16.0,17622.0,839432.0,0.5
2008,pasco,mineria,4.0,1246.0,110336.0,4.0,1246.0,110336.0,1.0
2008,tumbes,mineria,39.0,28136.0,1418424.0,63.0,34011.0,1520960.0,0.6190476190476191
2009,arequipa,mineria,4.0,2148.0,80352.0,8.0,2948.0,174704.0,0.5
2009,ayacucho,mineria,2.0,1800.0,50400.0,2.0,1800.0,50400.0,1.0
2009,callao,transporte,2.0,1294.0,16688.0,3.0,1326.0,17200.0,0.6666666666666666
2009,huancavelica,mineria,1.0,329.0,18424.0,1.0,329.0,18424.0,1.0
2009,huanuco,mineria,4.0,3540.0,423680.0,4.0,3540.0,423680.0,1.0
2009,ica,mineria,4.0,3817.0,242024.0,4.0,3817.0,242024.0,1.0
2009,lima_provincia,manufactura,9.0,739.0,49288.0,19.0,3646.0,111744.0,0.47368421052631576
2009,otros,mineria,33.0,20577.0,1034840.0,97.0,35649.0,1436674.0,0.3402061855670103
2009,pasco,mineria,4.0,1618.0,47624.0,4.0,1618.0,47624.0,1.0
2010,arequipa,mineria,6.0,3866.0,116424.0,12.0,4764.0,161712.0,0.5
2010,callao,transporte,0.0,25.0,600.0,0.0,25.0,600.0,
2010,cusco,transporte,1.0,94.0,2880.0,1.0,94.0,2880.0,1.0
2010,huancavelica,mineria,3.0,430.0,37360.0,5.0,1370.0,84080.0,0.6
2010,ica,mineria,4.0,2721.0,164208.0,4.0,2785.0,165936.0,1.0
2010,lima_provincia,manufactura,12.0,1805.0,42288.0,29.0,8599.0,166768.0,0.41379310344827586
2010,moquegua,administra_publica_y_defensa,0.0,0.0,0.0,0.0,0.0,192.0,
2010,pasco,mineria,7.0,1807.0,50888.0,7.0,1810.0,50960.0,1.0
2010,piura,transporte,0.0,37.0,888.0,0.0,37.0,888.0,
2010,puno,transporte,0.0,6.0,144.0,0.0,6.0,144.0,
2010,tacna,transporte,0.0,12.0,288.0,0.0,12.0,288.0,
2010,tumbes,mineria,36.0,16377.0,613540.0,83.0,30606.0,1279380.0,0.43373493975903615
2012,arequipa,manufactura,5.0,481.0,66776.0,11.0,2386.0,206160.0,0.45454545454545453
2012,ayacucho,adm_publica,0.0,47.0,376.0,0.0,77.0,1096.0,
2012,cajamarca,transporte,0.0,13.0,728.0,0.0,19.0,1772.0,
2012,callao,adm_publica,0.0,0.0,0.0,0.0,0.0,35938.0,
2012,cusco,adm_publica,0.0,395.0,3160.0,0.0,643.0,25132.0,
2012,huancavelica,mineria,1.0,620.0,19840.0,1.0,627.0,21058.0,1.0
2012,huanuco,salud_social,0.0,20.0,3480.0,0.0,35.0,5360.0,
2012,ica,mineria,2.0,1578.0,273896.0,2.0,1738.0,300416.0,1.0
2012,lima_metropolitana,adm_publica,7.0,2238.0,18608.0,30.0,5964.0,304258.0,0.23333333333333334
2012,moquegua,adm_publica,2.0,92.0,736.0,3.0,341.0,5592.0,0.6666666666666666
